"id","codigo_agrupador","naturaleza","code","name","chart_template_id","parent_id","user_type_id","type","reconcile"
"account_105","ref=*contabilidad_electronica.codigo_agrupador_105*","ref=*contabilidad_electronica.naturaleza_deudora*",105,"CLIENTES","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_105_01","ref=*contabilidad_electronica.codigo_agrupador_105_01*","ref=*contabilidad_electronica.naturaleza_deudora*",105.01,"CLIENTES NACIONALES","ref=*mx_coa_sat*","ref=*account_105*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_105_01_01","ref=*contabilidad_electronica.codigo_agrupador_105_01*","ref=*contabilidad_electronica.naturaleza_deudora*","105.01.01","Clientes nacionales","ref=*mx_coa_sat*","ref=*account_105_01*","ref=*account.data_account_type_receivable*","other","eval=*True*"
"account_105_02","ref=*contabilidad_electronica.codigo_agrupador_105_02*","ref=*contabilidad_electronica.naturaleza_deudora*",105.02,"CLIENTES EXTRANJEROS","ref=*mx_coa_sat*","ref=*account_105*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_105_02_01","ref=*contabilidad_electronica.codigo_agrupador_105_02*","ref=*contabilidad_electronica.naturaleza_deudora*","105.02.01","Clientes extranjeros","ref=*mx_coa_sat*","ref=*account_105_02*","ref=*account.data_account_type_receivable*","other","eval=*True*"
"account_105_03","ref=*contabilidad_electronica.codigo_agrupador_105_03*","ref=*contabilidad_electronica.naturaleza_deudora*",105.03,"CLIENTES NACIONALES PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_105*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_105_03_01","ref=*contabilidad_electronica.codigo_agrupador_105_03*","ref=*contabilidad_electronica.naturaleza_deudora*","105.03.01","Clientes nacionales parte relacionada","ref=*mx_coa_sat*","ref=*account_105_03*","ref=*account.data_account_type_receivable*","other","eval=*True*"
"account_105_04","ref=*contabilidad_electronica.codigo_agrupador_105_04*","ref=*contabilidad_electronica.naturaleza_deudora*",105.04,"CLIENTES EXTRANJEROS PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_105*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_105_04,01","ref=*contabilidad_electronica.codigo_agrupador_105_04*","ref=*contabilidad_electronica.naturaleza_deudora*","105.04,01","Clientes extranjeros parte relacionada","ref=*mx_coa_sat*","ref=*account_105_04*","ref=*account.data_account_type_receivable*","other","eval=*True*"
"account_106","ref=*contabilidad_electronica.codigo_agrupador_106*","ref=*contabilidad_electronica.naturaleza_deudora*",106,"CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_01","ref=*contabilidad_electronica.codigo_agrupador_106_01*","ref=*contabilidad_electronica.naturaleza_deudora*",106.01,"CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO NACIONAL","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_01_01","ref=*contabilidad_electronica.codigo_agrupador_106_01*","ref=*contabilidad_electronica.naturaleza_deudora*","106.01.01","Cuentas y documentos por cobrar a corto plazo nacional","ref=*mx_coa_sat*","ref=*account_106_01*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_106_02","ref=*contabilidad_electronica.codigo_agrupador_106_02*","ref=*contabilidad_electronica.naturaleza_deudora*",106.02,"CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_03","ref=*contabilidad_electronica.codigo_agrupador_106_03*","ref=*contabilidad_electronica.naturaleza_deudora*",106.03,"CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_03_01","ref=*contabilidad_electronica.codigo_agrupador_106_03*","ref=*contabilidad_electronica.naturaleza_deudora*","106.03.01","Cuentas y documentos por cobrar a corto plazo nacional parte relacionada","ref=*mx_coa_sat*","ref=*account_106_03*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_106_04","ref=*contabilidad_electronica.codigo_agrupador_106_04*","ref=*contabilidad_electronica.naturaleza_deudora*",106.04,"CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_04_01","ref=*contabilidad_electronica.codigo_agrupador_106_04*","ref=*contabilidad_electronica.naturaleza_deudora*","106.04.01","Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada","ref=*mx_coa_sat*","ref=*account_106_04*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_106_05","ref=*contabilidad_electronica.codigo_agrupador_106_05*","ref=*contabilidad_electronica.naturaleza_deudora*",106.05,"INTERESES POR COBRAR A CORTO PLAZO NACIONAL","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_05_01","ref=*contabilidad_electronica.codigo_agrupador_106_05*","ref=*contabilidad_electronica.naturaleza_deudora*","106.05.01","Intereses por cobrar a corto plazo nacional","ref=*mx_coa_sat*","ref=*account_106_05*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_106_06","ref=*contabilidad_electronica.codigo_agrupador_106_06*","ref=*contabilidad_electronica.naturaleza_deudora*",106.06,"INTERESES POR COBRAR A CORTO PLAZO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_07","ref=*contabilidad_electronica.codigo_agrupador_106_07*","ref=*contabilidad_electronica.naturaleza_deudora*",106.07,"INTERESES POR COBRAR A CORTO PLAZO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_07_01","ref=*contabilidad_electronica.codigo_agrupador_106_07*","ref=*contabilidad_electronica.naturaleza_deudora*","106.07.01","Intereses por cobrar a corto plazo nacional parte relacionada","ref=*mx_coa_sat*","ref=*account_106_07*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_106_08","ref=*contabilidad_electronica.codigo_agrupador_106_08*","ref=*contabilidad_electronica.naturaleza_deudora*",106.08,"INTERESES POR COBRAR A CORTO PLAZO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_09","ref=*contabilidad_electronica.codigo_agrupador_106_09*","ref=*contabilidad_electronica.naturaleza_deudora*",106.09,"OTRAS CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_106_10","ref=*contabilidad_electronica.codigo_agrupador_106_10*","ref=*contabilidad_electronica.naturaleza_deudora*",106.1,"OTRAS CUENTAS Y DOCUMENTOS POR COBRAR A CORTO PLAZO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_106*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107","ref=*contabilidad_electronica.codigo_agrupador_107*","ref=*contabilidad_electronica.naturaleza_deudora*",107,"DEUDORES DIVERSOS","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_01","ref=*contabilidad_electronica.codigo_agrupador_107_01*","ref=*contabilidad_electronica.naturaleza_deudora*",107.01,"FUNCIONARIOS Y EMPLEADOS","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_01","ref=*contabilidad_electronica.codigo_agrupador_107_01*","ref=*contabilidad_electronica.naturaleza_deudora*",107.01,"FUNCIONARIOS Y EMPLEADOS","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_02","ref=*contabilidad_electronica.codigo_agrupador_107_02*","ref=*contabilidad_electronica.naturaleza_deudora*",107.02,"SOCIOS Y ACCIONISTAS","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_03","ref=*contabilidad_electronica.codigo_agrupador_107_03*","ref=*contabilidad_electronica.naturaleza_deudora*",107.03,"PARTES RELACIONADAS NACIONALES","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_04","ref=*contabilidad_electronica.codigo_agrupador_107_04*","ref=*contabilidad_electronica.naturaleza_deudora*",107.04,"PARTES RELACIONADAS EXTRANJEROS","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_05","ref=*contabilidad_electronica.codigo_agrupador_107_05*","ref=*contabilidad_electronica.naturaleza_deudora*",107.05,"OTROS DEUDORES DIVERSOS","ref=*mx_coa_sat*","ref=*account_107*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_107_05_01","ref=*contabilidad_electronica.codigo_agrupador_107_05*","ref=*contabilidad_electronica.naturaleza_deudora*","107.05.01","Otros deudores diversos","ref=*mx_coa_sat*","ref=*account_107_05*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_108","ref=*contabilidad_electronica.codigo_agrupador_108*","ref=*contabilidad_electronica.naturaleza_deudora*",108,"ESTIMACIÓN DE CUENTAS INCOBRABLES","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_108_01","ref=*contabilidad_electronica.codigo_agrupador_108_01*","ref=*contabilidad_electronica.naturaleza_deudora*",108.01,"ESTIMACIÓN DE CUENTAS INCOBRABLES NACIONAL","ref=*mx_coa_sat*","ref=*account_108*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_108_01_01","ref=*contabilidad_electronica.codigo_agrupador_108_01*","ref=*contabilidad_electronica.naturaleza_deudora*","108.01.01","Estimación de cuentas incobrables nacional","ref=*mx_coa_sat*","ref=*account_108_01*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_108_02","ref=*contabilidad_electronica.codigo_agrupador_108_02*","ref=*contabilidad_electronica.naturaleza_deudora*",108.02,"ESTIMACIÓN DE CUENTAS INCOBRABLES EXTRANJERO","ref=*mx_coa_sat*","ref=*account_108*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_108_03","ref=*contabilidad_electronica.codigo_agrupador_108_03*","ref=*contabilidad_electronica.naturaleza_deudora*",108.03,"ESTIMACIÓN DE CUENTAS INCOBRABLES NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_108*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_108_04","ref=*contabilidad_electronica.codigo_agrupador_108_04*","ref=*contabilidad_electronica.naturaleza_deudora*",108.04,"ESTIMACIÓN DE CUENTAS INCOBRABLES EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_108*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109","ref=*contabilidad_electronica.codigo_agrupador_109*","ref=*contabilidad_electronica.naturaleza_deudora*",109,"PAGOS ANTICIPADOS","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_01","ref=*contabilidad_electronica.codigo_agrupador_109_01*","ref=*contabilidad_electronica.naturaleza_deudora*",109.01,"SEGUROS Y FIANZAS PAGADOS POR ANTICIPADO NACIONAL","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_01_01","ref=*contabilidad_electronica.codigo_agrupador_109_01*","ref=*contabilidad_electronica.naturaleza_deudora*","109.01.01","Seguros pagados por anticipado nacional","ref=*mx_coa_sat*","ref=*account_109_01*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_109_01_02","ref=*contabilidad_electronica.codigo_agrupador_109_01*","ref=*contabilidad_electronica.naturaleza_deudora*","109.01.02","Fianzas pagados por anticipado nacional","ref=*mx_coa_sat*","ref=*account_109_01*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_109_02","ref=*contabilidad_electronica.codigo_agrupador_109_02*","ref=*contabilidad_electronica.naturaleza_deudora*",109.02,"SEGUROS Y FIANZAS PAGADOS POR ANTICIPADO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_03","ref=*contabilidad_electronica.codigo_agrupador_109_03*","ref=*contabilidad_electronica.naturaleza_deudora*",109.03,"SEGUROS Y FIANZAS PAGADOS POR ANTICIPADO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_04","ref=*contabilidad_electronica.codigo_agrupador_109_04*","ref=*contabilidad_electronica.naturaleza_deudora*",109.04,"SEGUROS Y FIANZAS PAGADOS POR ANTICIPADO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_05","ref=*contabilidad_electronica.codigo_agrupador_109_05*","ref=*contabilidad_electronica.naturaleza_deudora*",109.05,"RENTAS PAGADOS POR ANTICIPADO NACIONAL","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_05_01","ref=*contabilidad_electronica.codigo_agrupador_109_05*","ref=*contabilidad_electronica.naturaleza_deudora*","109.05.01","Rentas pagados por anticipado nacional","ref=*mx_coa_sat*","ref=*account_109_05*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_109_06","ref=*contabilidad_electronica.codigo_agrupador_109_06*","ref=*contabilidad_electronica.naturaleza_deudora*",109.06,"RENTAS PAGADOS POR ANTICIPADO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_07","ref=*contabilidad_electronica.codigo_agrupador_109_07*","ref=*contabilidad_electronica.naturaleza_deudora*",109.07,"RENTAS PAGADOS POR ANTICIPADO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_08","ref=*contabilidad_electronica.codigo_agrupador_109_08*","ref=*contabilidad_electronica.naturaleza_deudora*",109.08,"RENTAS PAGADOS POR ANTICIPADO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_09","ref=*contabilidad_electronica.codigo_agrupador_109_09*","ref=*contabilidad_electronica.naturaleza_deudora*",109.09,"INTERESES PAGADOS POR ANTICIPADO NACIONAL","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_10","ref=*contabilidad_electronica.codigo_agrupador_109_10*","ref=*contabilidad_electronica.naturaleza_deudora*",109.1,"INTERESES PAGADOS POR ANTICIPADO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_11","ref=*contabilidad_electronica.codigo_agrupador_109_11*","ref=*contabilidad_electronica.naturaleza_deudora*",109.11,"INTERESES PAGADOS POR ANTICIPADO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_12","ref=*contabilidad_electronica.codigo_agrupador_109_12*","ref=*contabilidad_electronica.naturaleza_deudora*",109.12,"INTERESES PAGADOS POR ANTICIPADO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_13","ref=*contabilidad_electronica.codigo_agrupador_109_13*","ref=*contabilidad_electronica.naturaleza_deudora*",109.13,"FACTORAJE FINANCIERO PAGADOS POR ANTICIPADO NACIONAL","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_14","ref=*contabilidad_electronica.codigo_agrupador_109_14*","ref=*contabilidad_electronica.naturaleza_deudora*",109.14,"FACTORAJE FINANCIERO PAGADOS POR ANTICIPADO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_15","ref=*contabilidad_electronica.codigo_agrupador_109_15*","ref=*contabilidad_electronica.naturaleza_deudora*",109.15,"FACTORAJE FINANCIERO PAGADOS POR ANTICIPADO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_16","ref=*contabilidad_electronica.codigo_agrupador_109_16*","ref=*contabilidad_electronica.naturaleza_deudora*",109.16,"FACTORAJE FINANCIERO PAGADOS POR ANTICIPADO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_17","ref=*contabilidad_electronica.codigo_agrupador_109_17*","ref=*contabilidad_electronica.naturaleza_deudora*",109.17,"ARRENDAMIENTO FINANCIERO PAGADOS POR ANTICIPADO NACIONAL","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_18","ref=*contabilidad_electronica.codigo_agrupador_109_18*","ref=*contabilidad_electronica.naturaleza_deudora*",109.18,"ARRENDAMIENTO FINANCIERO PAGADOS POR ANTICIPADO EXTRANJERO","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_19","ref=*contabilidad_electronica.codigo_agrupador_109_19*","ref=*contabilidad_electronica.naturaleza_deudora*",109.19,"ARRENDAMIENTO FINANCIERO PAGADOS POR ANTICIPADO NACIONAL PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_20","ref=*contabilidad_electronica.codigo_agrupador_109_20*","ref=*contabilidad_electronica.naturaleza_deudora*",109.2,"ARRENDAMIENTO FINANCIERO PAGADOS POR ANTICIPADO EXTRANJERO PARTE RELACIONADA","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_21","ref=*contabilidad_electronica.codigo_agrupador_109_21*","ref=*contabilidad_electronica.naturaleza_deudora*",109.21,"PÉRDIDA POR DETERIORO DE PAGOS ANTICIPADOS","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_22","ref=*contabilidad_electronica.codigo_agrupador_109_22*","ref=*contabilidad_electronica.naturaleza_deudora*",109.22,"DERECHOS FIDUCIARIOS","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_23","ref=*contabilidad_electronica.codigo_agrupador_109_23*","ref=*contabilidad_electronica.naturaleza_deudora*",109.23,"OTROS PAGOS ANTICIPADOS","ref=*mx_coa_sat*","ref=*account_109*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_109_23_01","ref=*contabilidad_electronica.codigo_agrupador_109_23*","ref=*contabilidad_electronica.naturaleza_deudora*","109.23.01","Otros pagos anticipados","ref=*mx_coa_sat*","ref=*account_109_23*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_110","ref=*contabilidad_electronica.codigo_agrupador_110*","ref=*contabilidad_electronica.naturaleza_deudora*",110,"SUBSIDIO AL EMPLEO POR APLICAR","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_110_01","ref=*contabilidad_electronica.codigo_agrupador_110_01*","ref=*contabilidad_electronica.naturaleza_deudora*",110.01,"SUBSIDIO AL EMPLEO POR APLICAR","ref=*mx_coa_sat*","ref=*account_110*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
